Language id,word1,word2,word3,word4,word5,Phonetic inventory similarity ,Exact Phoneme match similarity ,Levensthein distance (nltk implementaiton,Feature match similarity
# with 0 changes
language 1 ,kɘ:r'lɨ.lo:.ä:,mä:'tnɨ:.rä:,pu:r'läs.tlä:,tla:'pi.ri:.o:,a:k'kʷea.ri:.o:,0.7941176470588235,0.6559542938760936,0.9261394749557095,4.285340314136126
language 2 ,kir'la.lø.e:,mḁ:'tri:.nḁ,pyr'lḁzʰ.tlḁ,tli'pi.ra.ø:,ik'kʷae.ra.ø:,0.7741935483870968,0.6388144974111766,0.9292317603478821,2.9031413612565444
# with 10 changes
language 1 ,kɘ:ɽr̠'ʎɨ.ʎo:.ä:,mä:'ɟɲɨ:.ɽr̠ä:,pu:ʑ'ʎäɽr̠.ɟʎä:,tʎa:'pi.ɽr̠i:.o:,æ:k'kʷeæ.ɽr̠i:.o:,0.5238095238095238,0.40296375647205857,0.8348204219681108,7.045811518324608
language 2 ,kar'li.lø.e:,mḁ:'dri:.nḁ,pyr'lḁzʰ.dlḁ,dla'pi.ri.ø:,ak'kʷie.ra.ø:,0.6388888888888888,0.5915015175861453,0.9190207762924787,3.5654450261780104
# with 20 changes
language 1 ,kʷɘ:ɽr̠'ʎɨ̥.ʎo:.ä:,mä:'ɟʷɲɨ̥:.ɽr̠ä:,pʷu:ʑ'ʎäɽr̠.ɟʷʎä:,tʷʎa:'pʷi.ɽr̠i:.o:,æ:kʷ'kʷeæ.ɽr̠i:.o:,0.2641509433962264,0.2495982860203535,0.7846029956514736,9.18979057591623
language 2 ,kar'li.l̟ø.e:,mḁ:.dri:.nḁ,pyr'lḁzʰ.dlḁ,dla'pi.ri.ø:,ak'kʷie.ra.ø:,0.575,0.527048741296197,0.9058141407634079,4.730366492146596
# with 30 changes
language 1 ,kʷɘ̃:ɽr̠'ʎɨ̝̥.ʎo:.ä:,mä:'ɟʷɲɨ̝̥:.ɽr̠ä:,pʷʊ:ʑ'ʎäɽr̠.ɟʷʎä:,tʷʎḁ:'pʷɪ̥.ɽr̠ɪ̥:.o̥:,ɘ̃:kʷ'kʷä̞ä̞.ɽr̠ɨ̝:.o:,0.15942028985507245,0.14122478128905552,0.7312610726364954,11.37434554973822
