-ahtaa	-ɑhtɑːˣ
-ksia	-ksiɑˣ
.fi	ˈpisteˣˌfi(ː)
200 metrin juoksu	ˈkɑhden ˈsɑdɑn ˈmetrin ˈjuo̯ksu
4H-toiminta	ˈneljæˌhoːˌtoi̯mintɑ
A-pilari	ˈɑːˌpilɑri
Aaron	ˈɑːron
Aava	ˈɑːʋɑ
Ahvenanmaa	ˈɑhʋenɑnˌmɑː
Aila	ˈɑi̯lɑ
Aina	ˈɑi̯nɑ
Aini	ˈɑi̯ni
Aiskhylos	ˈɑi̯skhylos
Akaa	ˈɑkɑː
Aki	ˈɑki
Aku Ankka	ˈɑku ˈɑŋkːɑ
Alabama	ˈɑlɑbɑmɑ
Albertiina	ˈɑlbertiːnɑ
Aleksanteri	ˈɑleksɑnteri
Alex	ˈɑleks
Alpo	ˈɑlpo
Annala	ˈɑnːɑlɑ
Anni	ˈɑnːi
Antton	ˈɑntːon
Asklepios	ˈɑskle(ː)pios
Aulikki	ˈɑu̯likːi
Aura	ˈɑu̯rɑ
Brasilia	ˈbrɑsiliɑ
D-pilari	ˈdeːˌpilɑri
Delfiini	ˈdelfiːni
Eeli	ˈeːli
Eerika	ˈeːrikɑ
Eevert	ˈeːʋert
Elias	ˈeliɑs
Elo	ˈelo
Eridanus	ˈeridɑnus
Es-duuri	ˈesˌduːri
Etelänapamanner	ˈetelæˌnɑpɑˌmɑnːer
Eurooppa	ˈeu̯roːpːɑ
Euroviisut	ˈeu̯roˌʋiːsut
Fis-duuri	ˈfisˌduːri
Formula 1	ˈformulɑ ˈykːønen
Gaia	ˈɡɑi̯ɑ
H-teräs	ˈhoːˌteræs
HIFK	ˈhifk(i)
Hankasalmi	ˈhɑŋkɑˌsɑlmi
Hanna	ˈhɑnːɑ
Harjavalta	ˈhɑrjɑʋɑltɑ
Harppi	ˈhɑrpːi
Heikkinen	ˈhei̯kːinen
Heinola	ˈhei̯nolɑ
Helsingör	ˈhelsiŋːø(ː)r
Henrikki	ˈhenrikːi
Herkko	ˈherkːo
Heta	ˈhetɑ
Hilla	ˈhilːɑ
Hilppa	ˈhilpːɑ
Hulkko	ˈhulkːo
Humppila	ˈhumpːilɑ
Hyrynsalmi	ˈhyrynˌsɑlmi
Hyvinkää	ˈhyʋiŋkæː
Iina	ˈiːnɑ
Iisa	ˈiːsɑ
Indonesia	ˈindone(ː)s(ː)iɑ
Intia	ˈintiɑ
Iowa	ˈioʋɑ
Irlanti	ˈirlɑnti
Isko	ˈisko
Islanti	ˈislɑnti
Isokangas	ˈisoˌkɑŋːɑs
Jaakola	ˈjɑːkolɑ
Jaava	ˈjɑːʋɑ
Janakkala	ˈjɑnɑkːɑlɑ
Jonna	ˈjonːɑ
Julia	ˈju(ː)liɑ
Jumala	ˈjumɑlɑ
Jumalan terve	ˈjumɑlɑn ˈterʋeˣ
Jupiter	ˈjupiter
Justiina	ˈjustiːnɑ
Kalevanpoika	ˈkɑleʋɑnˌpoi̯kɑ
Kanta-Häme	ˈkɑntɑˌhæmeˣ
Karatšai-Tšerkessia	ˈkɑrɑtʃɑi̯ˌtʃerkesːiɑ
Karjala	ˈkɑrjɑlɑ
Karstula	ˈkɑrstulɑ
Karvia	ˈkɑrʋiɑ
Kassiopeia	ˈkɑsːiopei̯ɑ
Kauko	ˈkɑu̯ko
Kauppinen	ˈkɑu̯pːinen
Kaustinen	ˈkɑu̯stinen
Keijo	ˈkei̯jo
Kettunen	ˈketːunen
Kiehimänjoki	ˈkie̯himænˌjoki
Kirkkonummi	ˈkirkːoˌnumːi
Konstantinus	ˈkonstɑntinus
Korinttolaiskirje	ˈkorintːolɑi̯sˌkirjeˣ
Koski	ˈkoski
Koskinen	ˈkoskinen
Koutokeino	ˈkou̯tokei̯no
Kristiinankaupunki	ˈkristiːnɑnˌkɑu̯puŋki
Kruunupyy	ˈkruːnuˌpyː
Kukka	ˈkukːɑ
Kukko	ˈkukːo
Kustavi	ˈkustɑʋi
Kuusamo	ˈkuːsɑmo
Kyyjärvi	ˈkyːˌjærʋi
Kyösti	ˈkyø̯sti
Kärppä	ˈkærpːæ
Kärsämäki	ˈkærsæˌmæki
Käärmeenkantaja	ˈkæːrmeːnˌkɑntɑjɑ
LA-puhelin	ˈælˌɑːˌpuhelin
Laakkonen	ˈlɑːkːonen
Laila	ˈlɑi̯lɑ
Laimi	ˈlɑi̯mi
Lassila	ˈlɑsːilɑ
Laura	ˈlɑu̯rɑ
Lehtinen	ˈlehtinen
Lehtola	ˈlehtolɑ
Lempaala	ˈlempɑːlɑ
Lentokala	ˈlentoˌkɑlɑ
Leppävirta	ˈlepːæˌʋirtɑ
Lumivalko	ˈlumiʋɑlko
Lyyli	ˈlyːli
Lyytikäinen	ˈlyːtikæi̯nen
Länsi-Virginia	ˈlænsiˌʋirɡi(ː)niɑ
Maarit	ˈmɑːrit
Makedonia	ˈmɑkedoniɑ
Makkonen	ˈmɑkːonen
Malta	ˈmɑltɑ
Mara	ˈmɑrɑ
Maria	ˈmɑriɑ
Martti	ˈmɑrtːi
Matleena	ˈmɑtleːnɑ
Mauri	ˈmɑu̯ri
Mervi	ˈmerʋi
Mielikki	ˈmie̯likːi
Miko	ˈmiko
Mila	ˈmilɑ
Minna	ˈminːɑ
Mirja	ˈmirjɑ
Mooses	ˈmoːses
Multia	ˈmultiɑ
Muurmanni	ˈmuːrmɑnːi
Mynämäki	ˈmynæˌmæki
Myrskylä	ˈmyrskylæ
Mäkilä	ˈmækilæ
NMKY	ˈænːˌæmːˌkoːˌyː
Napoli	ˈnɑpoli
Natanael	ˈnɑtɑnɑel
Neptunus	ˈneptunus
Neuvostoliitto	ˈneu̯ʋostoˌliːtːo
Niemi	ˈnie̯mi
Niina	ˈniːnɑ
