Classe ,syllabic,consonantal,height,backness,round,voice,plosive,nasal,fricative,lateral,trill,aspiration
#UNARY CLASSES ,,,,,,,,,,,,
sound,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vowells,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
consonnes,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
phonemes_sonores,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
phonemes_sourds,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
nasales,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
aspirated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
lateral,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
sibilant,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
rounded_vowells,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
trill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
glides,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#PT_ART_FEATURES,,,,,,,,,,,,
bilabial,0,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1
labiodental,0,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
dental,0,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
retroflex,0,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1
palatal,0,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1
velar,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
uvular,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
unrounded_vowells,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
advanced_vowells,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
mid_vowells,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
back_vowells,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
closed_vowells,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
open_vowells,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
diphtongues,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
plosives,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
