
ARPANET	ˈɑɹ.pəˌnɛt
Abanic	əˈbæn.ɪk
Abbey Wood	ˈæbi.wʊd
Abe	eɪb
Abelard	ˈæb.ə.ˌlɑɹd
Abernethy&#039;s sarcoma	ˈæb.ɚˌni.θi sɑɹˈkoʊ.mə
Abitur	ˌæbɪˈtʊə(ɹ)
Abood	əˈbuːd
Abraham	ˈɑː.bɹə.hæm
Absarokee	æbˈsoɹ.ki
Abuja	əˈbuːd͡ʒə
Abydene	ˈæbɪˌdiːn
Academy Award	əˈkæd.ə.mi əˈwɔːd
Acapulco	ˌæ.kəˈpʊl.koʊskændɪ
Achaean	əˈkiːən
Acheulean	əˈ(t)ʃuːlɪən
Acle	ˈeɪkəl
Acton	æktən
Adderall	ˈædəɹɔːl
Adriatic	ˌeɪ.dɹiˈæt.ɪk
Aegadian Islands	ɪˈɡeɪdiən ˈaɪləndz
Aelita	aɪˈlitə
African	ˈæf.ɹɪ.kən
Agapemone	aɡəˈpɛm(ə)ni
Agatha	ˈæɡəθə
Aghighi	ˈæɡiːɡiː
Alan	ˈæl.ən
Albemarle	ˈælbəˌmɑːɹl
Alder	ˈɔː.ldə
Alemannic	ˌæləˈmænɪk
Allahabad	ˌæləhəˈbɑːd
Alperton	ˈælpətən
Alzheimer&#039;s disease	ˈɑːltshaɪmə(ɹ)z
Amaterasu	ɑːmətɛɹˈɑːsuː
American handegg	əˈmɛɹɪkən ˈhændɛɡ
Amerinjun	ˌæməˈɹɪndʒən
Amitābha	əmiˈtɑːbə
Ammon	ˈæmən
Amphitrite	ˌæm.fɪˈtɹaɪ.ti
Anastasia	æn.ə.ˈsteɪ.ʃi.ə
Andalusia	ˌændəluːˈsiːə
Andrew	ˈæn.dɹuː
Andromache	ænˈdɹɒməki
Anglican	ˈæŋ.ɡlɪ.kən
Anschluss	ˈan.ʃlʊs
Antifa	ˈæntifɑː
Antiochia	æntiˈɒkiə
Aoki	eɪˈoʊki
Aphrodite	æfɹoˈdaɪti
Apuleius	ˌæpjuˈli.əs
Aramaic	ˌæɹ.ə.ˈmei.ɪk
Archi	ɑːɹˈtʃiː
Archimedes	ˌɑːkɪˈmiːdiːz
Arian	ˈɛəɹi.ən
Arizona	ˌɛɹɪˈzoʊnə
Arlberg Pass	ˈɑɹlbɝɡ ˈpæs
Armageddon	-ˈɡɛ.dən
Arnhem Land	ˈaːnəm lænd
Asenath	ˈæsɪnæθ
Ashby-de-la-Zouch	ˌæʃbɪ dələ ˈzuːʃ
Ashkenazi	ˌæʃkɪnəˈziː
Asmodeus	ˈæzməˈdiːəs
Assyrogenous	æsɪˈɹɒdʒɪnəs
Athamas	ˈæθəˌmæs
Atkins	ˈætkɪnz
Attic	ˈætɪk
Auger effect	əʊˈʒeɪ ɪˈfɛkt
August	ˈɔː.ɡəst
Australia	əˈstɹeɪljə
Austronesia	ˌɒs.tɹəˈniː.ʒə
Ave Maria	ˈɑːveɪ̯ məˈɹiːə
Avenzoar	ˌɑ.vənˈzoʊ.ər
Avery	ˈeɪvəɹi
Avicenna	ˌævɪˈsɛnə
Aylesbury	eɪlzbəɹi
B	b
BAME	biː&#32;eɪ&#32;ɛm&#32;iː
BEDMAS	ˈbɛd.mæs
BFF	ˌbiː.ɛfˈɛf
BMX	biː&#32;ɛm&#32;ˈɛks
BOGOF	ˈbɒɡ.ɒf
BTO flat	 biː tiː əʊ flæt
Baathism	bəˈʔɑːθɪzəm
Bagri	ˈbɑːɡri
Baja	baja
Bakelite	ˈbeɪk.ə.laɪt
Baklahorani	ˌbɑːkləhɔːˈɹɑːni
Balearic	bæliˈæɹɪk
Balkan	ˈbɔːlkən
Ballinger	ˈbælɪndʒəɹ
Balzacian	balˈzakɪ.ən
Banff	ˈbænf
Bangla	ˈbaŋla
Banning	ˈbænɪŋ
Barrasso	bəˈɹɑsoʊ
Basheer	bəˈʃiɹ
Basque	bɑːsk
Bassein	bəˈseɪn
Bastian	ˈbæsti.ən
Batu	ˈbɑːtuː
Baumkuchen	ˈbaʊmˌkuːxən
Bazhong	bɑːˈdʒɒŋ
Bearley	ˈbɪə(ɹ)li
Beatle	ˈbiːtəɫ
Beauchamp	ˈbiːt͡ʃəm
Becker	ˈbɛkɚ
Bedford	ˈbɛdfəd
Begley	ˈbɛɡli
Belah	ˈbiːlə
Bella	ˈbɛlə
Bellinzona	ˌbɛlɪnˈzəʊnə
Beloit	bəˈlɔɪt
Belphegor	ˈbɛlfəɡɔɹ
Bentley	ˈbentliː
Beowulf	ˈbeɪəwʊlf
Berden	ˈbɜː(ɹ)dən
Bering Sea	ˈbɛɹɪŋ ˈsiː
Berlin Wall	bɜːˈlɪn wɔːl
Bernie	ˈbɝni
Bethel	ˈbɛθəl
Beyhive	ˈbiːhaɪv
Biden	ˈbaɪdən
Bird Cove	ˈbɝd ˈkoʊv
Birmingham	ˈbɜː.mɪŋ.əm
Blackadder	ˈblækˌædə(ɹ)
Blackwell	ˈblækwɛl
Blaenrhondda	blaɪnˈrɒnðə
Blamey	ˈbleɪmi
Blarney	ˈblɑɹni
Blitz	blɪts
Bobby	ˈbɑbi
Boccaccian	bəˈkæt͡ʃiən
Boden	ˈbəʊdən
Boleyn	bəˈlɪn
Boolarra	bə.ˈlɐː.ɹə
Bordeaux	bɔɹˈdoʊ
Bork	bɔː(ɹ)k
Borussia	boʊˈɹʌʃə
Bosphorus	ˈbɒs.pəɹ.əs
Bounds	ˈbaʊndz
