Ameerika	ˈɑmeːrikɑ
Angelika	ˈɑŋɡ̊elikɑ
Bosnia ja Hertsegoviina	ˈb̥osnjɑ jɑ ˈhertseɡ̊oˌviːnɑ
Iris	ˈiris
Jupiter	ˈjupiter
Pariis	ˈpɑriːs
Piilupart Donald	ˈpiːlupɑrt d̥onɑld̥
Pluuto	ˈpluːto
Raamat	ˈrɑːmɑt
Rootsi	ˈroːtsi
San Marino	ˈsɑn mɑrino
Valletta	ˈvɑlːetːɑ
a	ˈɑː
aeg	ˈɑe̯ɡ̊
ajakirjanik	ˈɑjɑkirjɑnˈik
arvukas	ˈɑrvukɑs
b	ˈb̥eː
demokraatlik	d̥emokrˈɑːtlˈik
e	ˈeː
ekraan	ekˈrɑːn
epideemia	epiˈd̥eːmjɑ
ettepanek	ˈetːeˈpɑnek
geograafia	ɡ̊eo̯ˈɡ̊rɑːfjɑ
hansalinn	ˈhɑnsɑlˈinː
homme	ˈhomːe
igaüks	ˈiɡ̊ɑ.ˈyks
jalgpall	jˈɑlɡ̊pˈɑlʲː
jõulupuu	ˈjɤu̯lupuː
kalamees	ˈkɑlɑmeːs
kass	ˈkɑsʲː
keset	ˈkeset
kiiruspiirang	ˈkiːrusˈpiːrɑŋɡ̊
kohalik	kohɑlˈik
komöödia	komˈøːd̥iɑ
kuningas	ˈkuniŋɡ̊ɑs
känd	ˈkænd̥
kõne	ˈkɤne
kümme	ˈkymːe
lahti	ˈlɑhti
lavendel	lɑˈvend̥el
loomulik	loːmulˈik
lõpp	ˈlɤpː
matrjoška	ˈmɑtrjoʃkɑ
minister	minˈister
mulk	ˈmulʲk
müükla	mˈyːklɑ
neljapäev	ˈneljɑpæe̯v
nuss	ˈnusʲː
objektiivne	ob̥jektˈiːvne
otsetõus	ˈotsetɤu̯s
pott	ˈpotʲː
psühholoog	ˈpsyhːolˈoːɡ̊
põgenik	pɤɡ̊enˈik
pühakiri	ˈpyhɑkiri
rand	ˈrɑnd̥
ressurss	resːˈursː
riiklik	rˈiːklˈik
seitsmeteistkümnes	ˈsei̯tsmeˈtei̯stkymnes
sittuma	sˈitːumɑ
sotsiaalne	sotsiˈɑːlne
sulg	ˈsulʲɡ̊
sõnavabadus	ˈsɤnɑˈvɑb̥ɑd̥us
süvameri	ˈsyvɑˈmeri
tegelik	teɡ̊elˈik
territoorium	terːitˈoːriu̯m
traditsioon	trɑd̥itsiˈoːn
täielik	tæi̯elˈik
tünn	ˈtynʲː
uputama	ˈuputɑmɑ
vagu	ˈvɑɡ̊u
varjupaik	ˈvɑrjupɑi̯k
vorst	vˈorst
võrd	ˈvɤrd̥
õ	ɤ
õppimine	ˈɤpːimine
üheksateistkümnendik	ˈyheksɑˈtei̯stkymnend̥ik
ükssarvik	ˈyksˈsɑrvik
šaakal	ˈʃɑːkɑl
