अ	ɐ
अंसफलक	ɐ̃.sɐ.pʰɐ.lɐ.kɐ́
अक्षय्य	ɐk.ʂɐj.jɐ́
अङ्खयति	ɐŋ.kʰɐ.jɐ.ti
अङ्गुष्ठ	ɐŋ.ɡúʂ.ʈʰɐ
अजति	ɐ́.d͡ʑɐ.ti
अञ्जस्	ɐ́ɲ.d͡ʑɐs
अत्ति	ɐ́t.ti
अद्	ɐd
अधिक	ɐ.dʱi.kɐ
अन	ɐ.nɐ́
अनुप्रास	ɐ.n̪upˈɾɑː.s̪ɐ
अनृक्षर	ɐ.nr̩k.ʂɐ.ɾɐ́
अन्त्र	ɐ́n.tɾɐ
अपदेश	ɐ.pɐ.dɐj.ɕɐ
अपस्	ɐ́.pɐs
अभिज्ञा	ɐˈbʱid͡ʑ.ɲɑː
अभ्र	ɐbʱ.ɾɐ́
अयन	ɐ́.jɐ.nɐ
अरत्नि	ɐ.ɾɐt.ní
अर्धपथ	ɐɾ.dʱɐ́.pɐ.tʰɐ
अल	ɐ.lɐ
अवरिफ्	ɐ.ʋɐ.ɾipʰ
अशीति	ɐ.ɕiː.tí
अश्वा	ɐ́ɕ.ʋɑː
असंकॢप्त	ɐ.sɐŋ.kl̩p.tɐ
असृज्	ɐ́.sr̩d͡ʑ
अस्पृश्यता	ɐs̪ˈpr̩ɕ.jɐ.t̪ɑː
अहर्	ɐ́.ɦɐɾ
आङ्ग्ल	ɑːŋɡ.lɐ
आत्मनेपद	ɑːt.mɐ.nɐj.pɐ.dɐ
आनन्द	ɑː.nɐn.dɐ́
आभरण	ɑː.bʱɐ.ɾɐ.ɳɐ
आरोप	ɑː.ɾɐw.pɐ
आलस्य	ɑ́ː.lɐs.jɐ
आविस्	ɑː.ʋís
आसन्द	ɑː.sɐn.dɐ
इ	i
इच्छा	it.t͡ɕʰɑː
इन्द्र	ín.dɾɐ
ईडयति	iː.ɖɐ.jɐ.ti
ईर्ष्यु	iːɾ.ʂjú
उक्षति	uk.ʂɐ.ti
उच्यति	út͡ɕ.jɐ.ti
उत्तराधिकारिन्	ut.tɐ.ɾɑː.dʱi.kɑː.ɾin
उदक	u.dɐ.kɐ́
उद्गॄ	ud.ɡr̩ː
उद्विग्न	ud.ʋiɡ.nɐ
उपचार	u.pɐ.t͡ɕɑː.ɾɐ
उपरान्त	u.pɐ.ɾɑːn.tɐ
उपार्ज्	u.pɑːɾd͡ʑ
उल्लास	ul.lɑː.sɐ
उष्णकाल	uʂ.ɳɐ.kɑː.lɐ
ऊबध्य	úː.bɐdʱ.jɐ
ऋ	r̩
ऋण	r̩.ɳɐ́
ऋतु	r̩.tú
ऋष्व	r̩ʂ.ʋɐ́
एतद्	ɐj.tɐ́d
एलीका	ɐj.liː.kɑː
ऐन्दव	ˈɑjn̪.d̪ɐ.ʋɐ
ओदन	ɐw.dɐ.nɐ́
कंस	kɐ̃.sɐ́
कटि	kɐ.ʈi
कथासरित्सागर	kɐ.tʰɑː.sɐ.ɾit.sɑː.ɡɐ.ɾɐ
कन्द	kɐn.dɐ
कम्प्	kɐmp
करिक	kɐ.ɾi.kɐ
करिमुख	kɐ.ɾi.mu.kʰɐ
करोति	kɐ.ɾɐ́w.ti
कर्मधारय	kɐɾ.mɐ.dʱɑː.ɾɐ.jɐ
कलिङ्ग	kɐ.liŋ.ɡɐ
कश्यप	kɐɕ.jɐ́.pɐ
कान्ति	kɑːn.ti
कार	kɑː.ɾɐ
कार्पूर	kɑːɾ.puː.ɾɐ
काल्पनिक	kɑːl.pɐ.ni.kɐ
किकि	ki.ki
किरति	ki.ɾɐ.ti
कुञ्चिका	kuɲ.t͡ɕi.kɑː
कुप्	kup
कूट	kúː.ʈɐ
कृदन्त	kr̩.dɐn.tɐ
कृष्णा	kr̩ʂ.ɳɑː
कोक	kɐ́w.kɐ
क्षण्	kʂɐɳ
क्षालन	kʂɑː.lɐ.nɐ
क्षोदस्	kʂɐ́w.dɐs
खनति	kʰɐ́.nɐ.ti
खुद्	kʰud
खेदेन	kʰɐj.dɐj.nɐ
ख्यात	kʰjɑː.tɐ
गणपति	ɡɐ.ɳɐ́.pɐ.ti
गन्धर्व	ɡɐn.dʱɐɾ.ʋɐ́
गर्दभ	ɡɐɾ.dɐ.bʱɐ́
गलगण्ड	ɡɐ.l̪ɐˈɡɐɳ.ɖɐ
गायति	ɡɑ́ː.jɐ.ti
गुण	ɡu.ɳɐ́
गूढ	ɡuː.ɖʱɐ́
गोक्षीर	ɡɐwk.ʂiː.ɾɐ
गोरूप	ɡɐw.ɾuː.pɐ́
ग्रीष्म	ɡɾiːʂ.mɐ́
घिण्ण्	ɡʱiɳɳ
घ्रंस	ɡʱɾɐ̃.sɐ́
चक्षुस्	t͡ɕɐ́k.ʂus
चत्वारस्	t͡ɕɐt.ʋɑ́ː.ɾɐs
चमति	t͡ɕɐ́.mɐ.ti
चिकेत्ति	t͡ɕí.kɐjt.ti
चिन्तामणि	t͡ɕin.tɑː.mɐ.ɳi
छकार	t͡ɕʰɐˈkɑː.ɾɐ
छर्दति	t͡ɕʰɐ́ɾ.dɐ.ti
छिनत्ति	t͡ɕʰi.nɐ́t.ti
जङ्गम	d͡ʑɐŋ.ɡɐ.mɐ
जनता	d͡ʑɐ.nɐ́.tɑː
जय	d͡ʑɐ.jɐ́
जव	d͡ʑɐ́.ʋɐ
जान	d͡ʑɑ́ː.nɐ
जालपृष्ठ	d͡ʑɑː.lɐ.pr̩ʂ.ʈʰɐ
जिज्ञासते	d͡ʑíd͡ʑ.ɲɑː.sɐ.tɐj
जीरक	d͡ʑiː.ɾɐ.kɐ
जुष्ट	d͡ʑúʂ.ʈɐ
ज्ञा	d͡ʑɲɑː
ज्युत्	d͡ʑjut
ज्यौतिषिक	ˈd͡ʑjɑw.t̪i.ʂi.kɐ
डाकिनी	ɖɑː.ki.niː
तक्षन्	tɐ́k.ʂɐn
तत्र	tɐ́t.ɾɐ
तनु	tɐ.nú
तप्त	tɐp.tɐ́
तरुतृ	tɐ.ɾu.tr̩
तवस्	tɐ.ʋɐ́s
तात	tɑː.tɐ́
तारण	tɑː.ɾɐ.ɳɐ
तिक्त	tik.tɐ
तीक्ष्ण	tiːkʂ.ɳɐ́
तुमुल	tu.mú.lɐ
तृ	tŕ̩
तैलाय	tɑːj.lɑː.jɐ
त्याग	tjɑː.ɡɐ́
त्रिंशत्	tɾĩ.ɕɐ́t
त्वच्	tʋɐ́t͡ɕ
त्वेषथ	tʋɐj.ʂɐ́.tʰɐ
दक्षिण	dɐ́k.ʂi.ɳɐ
दत्तांश	dɐt.tɑ̃ː.ɕɐ
दर्त्नु	dɐɾt.nú
