-ійський	 ˈii̯sʲkei̯
Іван	iˈʋan
Амстердам	ɐmsterˈdam
Андрій	ɐnˈdʲrʲii̯
Багамські Острови	bɐˈɦamsʲkʲi ɔstrɔˈʋɪ
Буття	bʊˈtʲːa
Біг Мак	bʲiɦ ˈmak
Венесуела	ʋenesʊˈɛɫɐ
Волинь	wɔˈɫɪnʲ
Вікісловник	ʋʲikʲisɫɔu̯ˈnɪk
Галич	ˈɦaɫet͡ʃ
Генасамблея	ɦenɐsɐmˈbɫɛjɐ
Георгій	ɦeˈɔrɦʲii̯
Гурченко	ˈɦurt͡ʃenkɔ
ДТП	dɛ tɛ ˈpɛ
Давид	dɐˈʋɪd
Дніпро	dʲnʲiˈprɔ
Домініка	dɔmʲiˈnʲikɐ
Житомир	ʒeˈtɔmer
Київ	ˈkɪjiu̯
Краків	ˈkrakʲiu̯
Кримський півострів	ˈkrɪmsʲkei̯ pʲiˈwɔstʲrʲiu̯
Куала-Лумпур	kʊˈaɫɐ ˈɫumpʊr
Ленін	ˈɫɛnʲin
Литвиненко	ɫetʋeˈnɛnkɔ
Лукашенко	ɫʊkɐˈʃɛnkɔ
Львів	lʲʋʲiu̯
Маастрихт	mɐaˈstrɪxt
Маланка	mɐˈɫankɐ
Могильов	mɔɦeˈlʲɔu̯
Молдова	mɔɫˈdɔʋɐ
Монако	mɔˈnakɔ
Москва	mɔskˈʋa
Навруз	nɐu̯ˈruz
Нігер	ˈnʲiɦer
Олеся	ɔˈɫɛsʲɐ
Пакистан	pɐkeˈstan
Папа	ˈpapɐ
Персефона	perseˈfɔnɐ
Петро	peˈtrɔ
Радянський Союз	rɐˈdʲanʲsʲkei̯ sɔˈjuz
Рейк&#039;явік	rei̯ˈkjaʋʲik
Російська Федерація	roˈsʲii̯sʲkɐ fedeˈrat͡sʲijɐ
Сент-Люсія	sɛnt ˈlʲusʲijɐ
Соломія	sɔɫoˈmʲijɐ
Стефанія	steˈfanʲijɐ
Уельс	ʊˈɛlʲs
Хмельницький	xmelʲˈnɪt͡sʲkei̯
