-άκις	ˈa.kis
-αινα	ɛ.na
-εις	is
-λλω	llo
-τατος	ta.tos
-ως	os
Αἰγαί	ɛˈɡɛ
Αἴγισθος	ˈɛ.ɡis.tʰos
Αἴθαλος	ˈɛ.tʰa.los
Αἴολος	ˈɛ.o.los
Αὐγείας	awˈɡi.as
Αὐλίς	awˈlis
Αὐτονόη	aʍ.toˈno.e
Αὔξουμον	ˈaʍk.su.mon
Βάαλ	ˈba.al
Βάλβουρα	ˈbal.bu.ra
Βέργα	ˈbɛr.ɡa
Βακτρία	bakˈtri.a
Βητριακόν	be.tri.aˈkon
Βοιωτός	by.oˈtos
Βοττιαῖοι	bot.tiˈɛ.y
Βούδειον	ˈbu.di.on
Βρέναι	ˈbrɛ.nɛ
Βραυρών	brawˈron
Βρεῦκοι	ˈbreʍ.ky
Βρυκλική	bry.kliˈke
Βυσναῖοι	byzˈnɛ.y
Βόλκων	ˈbol.kon
Βόσπορος	ˈbos.po.ros
Γαβριήλ	ɡa.briˈel
Γαθέαι	ɡaˈtʰɛ.ɛ
Γεννησαρέτ	ɡɛn.ne.saˈrɛt
Γερήνιος	ɡɛˈre.ni.os
Γηρυόνας	ɡe.ryˈo.nas
Γολγοθᾶ	ɡol.ɡoˈtʰa
Γοργίας	ɡorˈɡi.as
Γόριλλαι	ˈɡo.ril.lɛ
Δάφνη	ˈda.pʰne
Δίπαια	ˈdi.pɛ.a
Δίρφυς	ˈdir.pʰys
Δαδάκης	daˈda.kes
Δαμασκός	da.masˈkos
Δανάβη	ðaˈna.βi
Δεινόλοχος	diˈno.lo.kʰos
Δεύς	deʍs
Δημάρατος	deˈma.ra.tos
Δημοκλείδης	de.moˈkli.des
Δημόφιλος	deˈmo.pʰi.los
Δηρουσιαῖοι	de.ru.siˈɛ.y
Διονύσιος	di.oˈny.si.os
Διόσκουρος	diˈos.ku.ros
Δομίτιος	doˈmi.ti.os
Δρίλων	ˈdri.lon
Δωρίμαχος	doˈri.ma.kʰos
Εἰλείθυια	iˈli.tʰy.a
Εὐθυμένης	eʍ.tʰyˈmɛ.nes
Εὐκλῆς	eʍˈkles
Εὐρυκλῆς	ew.ryˈkles
Εὐρώπα	ewˈro.pa
Εὐχήνωρ	eʍˈkʰe.nor
Εὔμαιος	ˈew.mɛ.os
Ζάγκλη	ˈzaŋ.kle
Ζάν	zan
Ζβελθίουρδος	zbɛlˈtʰi.ur.dos
Ζελφά	zɛlˈpʰa
Ζηκᾶς	zeˈkas
Ζηνόβιος	zeˈno.bi.os
Θάρυβις	ˈtʰa.ry.bis
Θάψακος	ˈtʰap.sa.kos
Θέμις	ˈtʰɛ.mis
Θέογνις	ˈtʰɛ.o.ɡnis
Θέρμη	ˈtʰɛr.me
Θίσβη	ˈtʰiz.be
Θεσπρωτός	tʰɛs.proˈtos
Θεόφραστος	tʰɛˈo.pʰras.tos
Θηραμένης	tʰe.raˈmɛ.nes
Θουκυδίδης	tʰu.kyˈdi.des
Θρᾷξ	tʰraks
Θρῇξ	tʰreks
Κάβειροι	ˈka.bi.ry
Κάλχας	ˈkal.kʰas
Κάμειρος	ˈka.mi.ros
Κάνταβροι	ˈkan.ta.bry
Κάρβων	ˈkar.bon
Κάρουσσα	ˈka.rus.sa
Κάρπις	ˈkar.pis
Κάσταβος	ˈkas.ta.bos
Κάτων	ˈka.ton
Κάϊν	ˈka.in
Κέρκυρα	ˈkɛr.ky.ra
Κήρ	ker
Κίρκη	ˈkir.ke
Καδμηΐς	kad.meˈis
Καλπούρνιος	kalˈpur.ni.os
Κανδάκη	kanˈda.ke
Κασσάνδρα	kasˈsan.dra
Καϊάφας	ka.iˈa.pʰas
Κεγχρεαί	kɛŋ.kʰrɛˈɛ
Κηφισός	ke.pʰiˈsos
Κιμμέριος	kimˈmɛ.ri.os
Κλεάνωρ	klɛˈa.nor
Κλεοφῶν	klɛ.oˈpʰon
Κλεόμβροτος	klɛˈom.bro.tos
Κλώδιος	ˈklo.di.os
Κοπτός	kopˈtos
Κορδύβη	korˈdy.be
Κούδητος	ˈku.de.tos
Κριτόβουλος	kriˈto.bu.los
Κροσσαίη	krosˈsɛ.e
Κυδαντίδαι	ky.danˈti.dɛ
Κυδωνία	ky.doˈni.a
Κόττας	ˈkot.tas
Κύρρος	ˈkyr̥.r̥os
Κῶς	kos
Λάδων	ˈla.don
Λάκμων	ˈlak.mon
Λάρισα	ˈla.ri.sa
Λέβεδος	ˈlɛ.bɛ.dos
Λίσσος	ˈlis.sos
Λαμψακηνός	lamp.sa.keˈnos
Λασαία	laˈsɛ.a
Λεξιφάνης	lɛk.siˈpʰa.nes
Λετρῖνοι	lɛˈtri.ny
Λευκανός	leʍ.kaˈnos
Λευκοθέα	leʍ.koˈtʰɛ.a
Λεωνίδης	lɛ.oˈni.des
Λιβυρνός	li.byrˈnos
Λικιννία	li.kinˈni.a
Λιμὴν Ἀργῷος	liˈmen arˈɡo.os
Λούσιος	ˈlu.si.os
Λυκίη	lyˈki.e
Λυκαβηττός	ly.ka.betˈtos
Λύστρα	ˈlys.tra
Μάγδωλος	ˈmaɡ.do.los
Μάδυτος	ˈma.dy.tos
Μάλλιος	ˈmal.li.os
Μάρεια	ˈma.ri.a
Μάριον	ˈma.ri.on
Μέλητος	ˈmɛ.le.tos
Μέμνων	ˈmɛm.non
Μαγνησία	ma.ɡneˈsi.a
Μακαρία	ma.kaˈri.a
Μαλαώ	ma.laˈo
Μανασσῆς	ma.nasˈses
Μαντινεύς	man.tiˈneʍs
Μαράκανδα	maˈra.kan.da
Μαρμάριον	marˈma.ri.on
Μασσαλία	mas.saˈli.a
Μαχανίδας	ma.kʰaˈni.das
Μεγάλη Ἑλλάς	mɛˈɡa.le (h)ɛlˈlas
Μελίτη	mɛˈli.te
Μερόπη	mɛˈro.pe
Μεσσήνη	mɛsˈse.ne
Μεταπόντιος	mɛ.taˈpon.ti.os
Μηλιεύς	me.liˈeʍs
Μιντούρνη	minˈtur.ne
Μνεῦις	ˈmne.wis
Μορφεύς	morˈpʰeʍs
Μουνυχιών	mu.ny.kʰiˈon
Μυσία	myˈsi.a
Μύρα	ˈmy.ra
Νάγιδος	ˈna.ɡi.dos
Νάπαρις	ˈna.pa.ris
Νάρνεια	ˈnar.ni.a
Νέαρχος	ˈnɛ.ar.kʰos
Νέμεσις	ˈnɛ.mɛ.sis
Νέπως	ˈnɛ.pos
Νίκαρχος	ˈni.kar.kʰos
Ναύκρατις	ˈnaʍ.kra.tis
Νηλεύς	neˈleʍs
Νικόλαος	niˈko.la.os
Νομαντῖνος	no.manˈti.nos
Νουμέριος	nuˈmɛ.ri.os
Νῖσος	ˈni.sos
Ξόϊς	ˈkso.is
